"SID","article_number","atlas","global_mean","parameter_estimate","outlier","run","trial","article_cond","msg_share","msg_rel_self","msg_rel_social","trial_type","topic","site"
"BPA01","40","value",-0.231324523687363,-1.07092642784119,"no","1",18,"other",2,3,3,"read_other","climate","Netherlands"
"BPA01","40","auditory",-0.231324523687363,-0.160910815000534,"no","1",18,"other",2,3,3,"read_other","climate","Netherlands"
"BPA01","40","sensorimotor",-0.231324523687363,0.316241025924683,"no","1",18,"other",2,3,3,"read_other","climate","Netherlands"
"BPA01","42","value",-0.471488118171692,-1.02459681034088,"no","1",25,"other",3,2,2,"read_other","climate","Netherlands"
"BPA01","42","auditory",-0.471488118171692,-0.793457806110382,"no","1",25,"other",3,2,2,"read_other","climate","Netherlands"
"BPA01","42","sensorimotor",-0.471488118171692,-0.415144741535187,"no","1",25,"other",3,2,2,"read_other","climate","Netherlands"
"BPA01","59","value",0.004231755621731,-0.93121200799942,"no","1",12,"other",4,2,3,"read_other","climate","Netherlands"
"BPA01","59","auditory",0.004231755621731,0.293878436088562,"no","1",12,"other",4,2,3,"read_other","climate","Netherlands"
"BPA01","59","sensorimotor",0.004231755621731,0.524522244930267,"no","1",12,"other",4,2,3,"read_other","climate","Netherlands"
"BPA01","64","value",-0.407452791929245,-1.17676723003387,"no","1",26,"other",4,3,3,"read_other","health","Netherlands"
"BPA01","64","auditory",-0.407452791929245,-0.743880271911621,"no","1",26,"other",4,3,3,"read_other","health","Netherlands"
"BPA01","64","sensorimotor",-0.407452791929245,-0.134349197149277,"no","1",26,"other",4,3,3,"read_other","health","Netherlands"
"BPA01","67","value",0.005437405779958,-0.729832828044891,"no","1",20,"other",3,1,2,"read_other","health","Netherlands"
"BPA01","67","auditory",0.005437405779958,0.013302678242326,"no","1",20,"other",3,1,2,"read_other","health","Netherlands"
"BPA01","67","sensorimotor",0.005437405779958,0.196555152535439,"no","1",20,"other",3,1,2,"read_other","health","Netherlands"
"BPA01","84","value",-0.313949465751648,-1.18204748630524,"no","1",28,"other",4,2,2,"read_other","health","Netherlands"
"BPA01","84","auditory",-0.313949465751648,-0.575395584106445,"no","1",28,"other",4,2,2,"read_other","health","Netherlands"
"BPA01","84","sensorimotor",-0.313949465751648,-0.043249070644379,"no","1",28,"other",4,2,2,"read_other","health","Netherlands"
"BPA01","87","value",0.301702827215195,-0.549465596675873,"no","1",11,"other",4,2,3,"read_other","climate","Netherlands"
"BPA01","87","auditory",0.301702827215195,0.375474393367767,"no","1",11,"other",4,2,3,"read_other","climate","Netherlands"
"BPA01","87","sensorimotor",0.301702827215195,0.834851503372192,"no","1",11,"other",4,2,3,"read_other","climate","Netherlands"
"BPA01","88","value",-0.260839730501175,-1.15864276885986,"no","1",19,"other",4,3,3,"read_other","health","Netherlands"
"BPA01","88","auditory",-0.260839730501175,-0.458462059497833,"no","1",19,"other",4,3,3,"read_other","health","Netherlands"
"BPA01","88","sensorimotor",-0.260839730501175,0.091797657310963,"no","1",19,"other",4,3,3,"read_other","health","Netherlands"
"BPA01","89","value",-0.207537710666656,-0.996876835823059,"no","1",17,"other",4,2,2,"read_other","climate","Netherlands"
"BPA01","89","auditory",-0.207537710666656,-0.286971509456635,"no","1",17,"other",4,2,2,"read_other","climate","Netherlands"
"BPA01","89","sensorimotor",-0.207537710666656,0.105092346668243,"no","1",17,"other",4,2,2,"read_other","climate","Netherlands"
"BPA01","11","value",0.240172699093819,-0.380896210670471,"no","1",8,"self",4,3,3,"read_self","health","Netherlands"
"BPA01","11","auditory",0.240172699093819,0.079256698489189,"no","1",8,"self",4,3,3,"read_self","health","Netherlands"
"BPA01","11","sensorimotor",0.240172699093819,0.186565056443214,"no","1",8,"self",4,3,3,"read_self","health","Netherlands"
"BPA01","2","value",0.249849617481232,-0.591796159744263,"no","1",32,"self",2,3,3,"read_self","health","Netherlands"
"BPA01","2","auditory",0.249849617481232,0.092842914164066,"no","1",32,"self",2,3,3,"read_self","health","Netherlands"
"BPA01","2","sensorimotor",0.249849617481232,0.323501646518707,"no","1",32,"self",2,3,3,"read_self","health","Netherlands"
"BPA01","24","value",-0.276797473430634,-1.11068141460419,"no","1",31,"self",3,2,3,"read_self","health","Netherlands"
"BPA01","24","auditory",-0.276797473430634,-0.366120576858521,"no","1",31,"self",3,2,3,"read_self","health","Netherlands"
"BPA01","24","sensorimotor",-0.276797473430634,-0.108693361282349,"no","1",31,"self",3,2,3,"read_self","health","Netherlands"
"BPA01","25","value",-0.165068805217743,-1.17734932899475,"no","1",6,"self",2,4,3,"read_self","climate","Netherlands"
"BPA01","25","auditory",-0.165068805217743,-0.424909085035324,"no","1",6,"self",2,4,3,"read_self","climate","Netherlands"
"BPA01","25","sensorimotor",-0.165068805217743,0.081978924572468,"no","1",6,"self",2,4,3,"read_self","climate","Netherlands"
"BPA01","26","value",-0.0875244140625,-0.398298591375351,"no","1",23,"self",3,4,4,"read_self","health","Netherlands"
"BPA01","26","auditory",-0.0875244140625,-0.475223034620285,"no","1",23,"self",3,4,4,"read_self","health","Netherlands"
"BPA01","26","sensorimotor",-0.0875244140625,-0.133725181221962,"no","1",23,"self",3,4,4,"read_self","health","Netherlands"
"BPA01","27","value",0.097467474639416,-0.721187651157379,"no","1",21,"self",4,2,3,"read_self","climate","Netherlands"
"BPA01","27","auditory",0.097467474639416,0.035933781415224,"no","1",21,"self",4,2,3,"read_self","climate","Netherlands"
"BPA01","27","sensorimotor",0.097467474639416,0.400390654802322,"no","1",21,"self",4,2,3,"read_self","climate","Netherlands"
"BPA01","4","value",0.247106358408928,-0.021178193390369,"no","1",22,"self",2,2,3,"read_self","climate","Netherlands"
"BPA01","4","auditory",0.247106358408928,-0.072510302066803,"no","1",22,"self",2,2,3,"read_self","climate","Netherlands"
"BPA01","4","sensorimotor",0.247106358408928,0.315777719020844,"no","1",22,"self",2,2,3,"read_self","climate","Netherlands"
"BPA01","48","value",-0.202593713998795,-0.996784746646881,"no","1",5,"self",3,2,2,"read_self","climate","Netherlands"
"BPA01","48","auditory",-0.202593713998795,-0.515130162239075,"no","1",5,"self",3,2,2,"read_self","climate","Netherlands"
"BPA01","48","sensorimotor",-0.202593713998795,-0.000995270558633,"no","1",5,"self",3,2,2,"read_self","climate","Netherlands"
"BPA01","49","value",-0.100275315344334,-0.678327560424805,"no","1",24,"self",3,3,3,"read_self","health","Netherlands"
"BPA01","49","auditory",-0.100275315344334,-0.095173642039299,"no","1",24,"self",3,3,3,"read_self","health","Netherlands"
"BPA01","49","sensorimotor",-0.100275315344334,0.264597862958908,"no","1",24,"self",3,3,3,"read_self","health","Netherlands"
"BPA01","50","value",-0.323999613523483,-1.06852388381958,"no","1",30,"self",4,4,4,"read_self","climate","Netherlands"
"BPA01","50","auditory",-0.323999613523483,-0.305764198303223,"no","1",30,"self",4,4,4,"read_self","climate","Netherlands"
"BPA01","50","sensorimotor",-0.323999613523483,-0.197701051831245,"no","1",30,"self",4,4,4,"read_self","climate","Netherlands"
"BPA01","74","value",0.284002244472504,-0.525066733360291,"no","1",7,"self",3,3,3,"read_self","health","Netherlands"
"BPA01","74","auditory",0.284002244472504,-0.099363349378109,"no","1",7,"self",3,3,3,"read_self","health","Netherlands"
"BPA01","74","sensorimotor",0.284002244472504,0.350833922624588,"no","1",7,"self",3,3,3,"read_self","health","Netherlands"
"BPA01","82","value",-0.234262138605118,-0.760089099407196,"no","1",29,"self",4,4,3,"read_self","climate","Netherlands"
"BPA01","82","auditory",-0.234262138605118,-0.537597894668579,"no","1",29,"self",4,4,3,"read_self","climate","Netherlands"
