"article_cond","SID","article_number","exclude_item","topic","n_words","msg_rel_self","msg_rel_social","msg_share_broad","msg_share_narrow"
"control","BB-W1-0148",17,0,"climate",NA,100,100,0,0
"control","BB-W1-0148",22,0,"climate",NA,64,0,0,0
"control","BB-W1-0151",6,0,"climate",NA,0,0,100,0
"control","BB-W1-0151",16,0,"climate",NA,0,0,0,0
"control","BB-W1-0151",19,0,"climate",NA,53,51,100,0
"control","BB-W1-0151",20,0,"climate",NA,100,100,100,0
"control","BB-W1-0151",21,0,"climate",NA,50,49,70,0
"control","BB-W1-0152",8,0,"climate",NA,51,50,14,9
"control","BB-W1-0152",9,0,"climate",NA,72,61,22,15
"control","BB-W1-0152",14,0,"climate",NA,26,33,18,11
"control","BB-W1-0152",18,0,"climate",NA,65,65,53,60
"control","BB-W1-0152",19,0,"climate",NA,29,47,12,38
"control","BB-W1-0165",1,0,"climate",NA,14,0,0,0
"control","BB-W1-0165",3,0,"climate",NA,13,12,10,9
"control","BB-W1-0165",13,0,"climate",NA,10,3,0,0
"control","BB-W1-0165",22,0,"climate",NA,9,9,0,7
"control","BB-W1-0165",24,0,"climate",NA,7,0,0,0
"control","BB-W1-0177",5,0,"climate",NA,60,70,45,60
"control","BB-W1-0177",9,0,"climate",NA,20,0,10,0
"control","BB-W1-0177",12,0,"climate",NA,15,20,0,20
"control","BB-W1-0177",16,0,"climate",NA,0,0,0,0
"control","BB-W1-0177",26,0,"climate",NA,10,30,20,20
"control","BB-W1-0204",5,0,"climate",NA,65,66,88,76
"control","BB-W1-0204",8,0,"climate",NA,64,71,68,78
"control","BB-W1-0204",13,0,"climate",NA,10,15,7,7
"control","BB-W1-0204",16,0,"climate",NA,40,80,75,65
"control","BB-W1-0204",18,0,"climate",NA,82,76,42,75
"control","BB-W1-0207",3,0,"climate",NA,75,75,75,75
"control","BB-W1-0207",5,0,"climate",NA,25,25,25,25
"control","BB-W1-0207",11,0,"climate",NA,25,25,25,25
"control","BB-W1-0207",20,0,"climate",NA,30,30,50,50
"control","BB-W1-0207",25,0,"climate",NA,25,50,50,50
"control","BB-W1-0210",1,0,"climate",NA,13,12,11,12
"control","BB-W1-0210",4,0,"climate",NA,43,41,20,21
"control","BB-W1-0210",13,0,"climate",NA,47,49,53,46
"control","BB-W1-0210",18,0,"climate",NA,78,79,50,69
"control","BB-W1-0210",23,0,"climate",NA,57,57,52,64
"control","BB-W1-0220",2,0,"climate",NA,90,90,40,80
"control","BB-W1-0220",14,0,"climate",NA,99,100,80,80
"control","BB-W1-0220",15,0,"climate",NA,0,0,0,0
"control","BB-W1-0220",18,0,"climate",NA,100,100,80,98
"control","BB-W1-0220",22,0,"climate",NA,38,33,40,58
"control","BB-W1-0227",2,0,"climate",NA,76,76,29,28
"control","BB-W1-0227",11,0,"climate",NA,68,68,29,29
"control","BB-W1-0227",16,0,"climate",NA,68,69,41,28
"control","BB-W1-0227",18,0,"climate",NA,72,72,53,37
"control","BB-W1-0227",20,0,"climate",NA,73,73,54,27
"control","BB-W1-0230",6,0,"climate",NA,36,55,59,2
"control","BB-W1-0230",11,0,"climate",NA,51,57,0,39
"control","BB-W1-0230",15,0,"climate",NA,15,51,58,79
"control","BB-W1-0230",20,0,"climate",NA,15,11,18,39
"control","BB-W1-0230",25,0,"climate",NA,68,18,52,17
