"group","SID","item","article_cond","article_number","trial","topic","sharing_type_key","sharing_type","msg_share","msg_rel_self","msg_rel_social","n_words"
"comment","s084","1","self",33,1,"health","msg_share_broad",0,50,87,87,18
"untimed","s085","1","self",57,1,"health","msg_share_broad",0,83,83,83,NA
"untimed","s086","1","control",30,1,"climate","msg_share_broad",0,74,51,51,NA
"timed","s087","1","other",6,1,"climate","msg_share_broad",0,42,56,84,NA
"comment","s088","1","control",16,1,"health","msg_share_broad",0,100,83,83,72
"timed","s089","1","control",79,1,"health","msg_share_broad",0,0,0,0,NA
"comment","s090","1","other",21,1,"climate","msg_share_broad",0,0,41,42,15
"untimed","s091","1","control",78,1,"health","msg_share_broad",0,100,53,100,NA
"untimed","s092","1","control",83,1,"health","msg_share_broad",0,27,100,100,NA
"untimed","s093","1","self",16,1,"health","msg_share_broad",0,1,53,51,NA
"comment","s094","1","self",94,1,"health","msg_share_broad",0,50,60,37,9
"comment","s095","1","other",4,1,"climate","msg_share_broad",0,56,63,65,8
"untimed","s096","1","other",30,1,"climate","msg_share_broad",0,44,73,88,NA
"comment","s097","1","control",80,1,"health","msg_share_broad",0,0,69,69,15
"untimed","s098","1","self",40,1,"climate","msg_share_broad",0,100,100,100,NA
"untimed","s099","1","self",40,1,"climate","msg_share_broad",0,54,62,62,NA
"untimed","s100","1","self",12,1,"climate","msg_share_broad",0,13,31,35,NA
"comment","s101","1","self",20,1,"health","msg_share_broad",0,21,83,81,21
"timed","s102","1","control",83,1,"health","msg_share_broad",0,10,8,7,NA
"comment","s103","1","self",95,1,"climate","msg_share_broad",0,48,54,60,29
"untimed","s104","1","self",72,1,"climate","msg_share_broad",0,1,1,1,NA
"untimed","s105","1","other",54,1,"health","msg_share_broad",0,14,0,0,NA
"untimed","s106","1","self",49,1,"health","msg_share_broad",0,1,86,1,NA
"untimed","s107","1","self",10,1,"climate","msg_share_broad",0,8,19,16,NA
"untimed","s108","1","other",46,1,"climate","msg_share_broad",0,13,65,64,NA
"timed","s109","1","self",94,1,"health","msg_share_broad",0,78,79,89,NA
"untimed","s110","1","other",15,1,"health","msg_share_broad",0,10,40,75,NA
"timed","s111","1","other",28,1,"health","msg_share_broad",0,0,0,0,NA
"untimed","s112","1","control",58,1,"health","msg_share_broad",0,53,71,53,NA
"comment","s113","1","self",77,1,"climate","msg_share_broad",0,0,12,13,7
"comment","s114","1","other",69,1,"health","msg_share_broad",0,0,0,1,21
"untimed","s115","1","other",0,1,"health","msg_share_broad",0,22,91,79,NA
"untimed","s116","1","self",7,1,"health","msg_share_broad",0,2,2,3,NA
"comment","s117","1","control",90,1,"climate","msg_share_broad",0,50,100,100,12
"timed","s118","1","self",76,1,"climate","msg_share_broad",0,30,78,61,NA
"untimed","s119","1","control",54,1,"health","msg_share_broad",0,34,19,20,NA
"comment","s120","1","self",22,1,"climate","msg_share_broad",0,15,57,58,14
"comment","s121","1","control",48,1,"climate","msg_share_broad",0,84,92,93,14
"timed","s122","1","self",95,1,"climate","msg_share_broad",0,57,76,76,NA
"untimed","s123","1","control",19,1,"climate","msg_share_broad",0,50,89,89,NA
"comment","s124","1","other",32,1,"climate","msg_share_broad",0,1,58,59,11
"untimed","s125","1","self",31,1,"climate","msg_share_broad",0,86,100,100,NA
"timed","s126","1","other",46,1,"climate","msg_share_broad",0,58,60,70,NA
"timed","s127","1","self",68,1,"health","msg_share_broad",0,26,45,74,NA
"comment","s128","1","control",94,1,"health","msg_share_broad",0,9,100,100,8
"untimed","s129","1","other",77,1,"climate","msg_share_broad",0,85,85,89,NA
"comment","s130","1","self",9,1,"climate","msg_share_broad",0,11,7,9,31
"comment","s131","1","self",57,1,"health","msg_share_broad",0,0,24,74,7
"timed","s132","1","other",87,1,"climate","msg_share_broad",0,72,49,51,NA
"untimed","s133","1","control",36,1,"health","msg_share_broad",0,34,8,46,NA
"comment","s134","1","self",43,1,"health","msg_share_broad",0,0,0,70,20
"timed","s135","1","control",56,1,"health","msg_share_broad",0,2,66,71,NA
"comment","s136","1","control",62,1,"health","msg_share_broad",0,49,100,100,13
"untimed","s137","1","self",41,1,"health","msg_share_broad",0,0,0,0,NA
"untimed","s138","1","self",63,1,"climate","msg_share_broad",0,44,100,100,NA
"timed","s139","1","self",68,1,"health","msg_share_broad",0,19,39,92,NA
"comment","s140","1","self",32,1,"climate","msg_share_broad",0,1,62,63,47
"timed","s141","1","self",37,1,"climate","msg_share_broad",0,0,10,65,NA
"comment","s142","1","other",78,1,"health","msg_share_broad",0,0,32,86,12
"comment","s143","1","self",10,1,"climate","msg_share_broad",0,85,100,85,13
"untimed","s144","1","self",76,1,"climate","msg_share_broad",0,1,1,1,NA
"untimed","s145","1","control",15,1,"health","msg_share_broad",0,0,0,0,NA
"timed","s146","1","control",25,1,"climate","msg_share_broad",0,89,65,65,NA
"timed","s147","1","other",52,1,"climate","msg_share_broad",0,0,0,14,NA
"untimed","s148","1","other",47,1,"climate","msg_share_broad",0,1,1,54,NA
"timed","s149","1","control",16,1,"health","msg_share_broad",0,1,56,63,NA
"untimed","s150","1","control",2,1,"health","msg_share_broad",0,68,82,100,NA
"timed","s151","1","other",51,1,"health","msg_share_broad",0,0,18,52,NA
"timed","s152","1","control",2,1,"health","msg_share_broad",0,5,9,12,NA
"untimed","s153","1","self",55,1,"climate","msg_share_broad",0,0,57,61,NA
"untimed","s154","1","self",65,1,"climate","msg_share_broad",0,43,72,77,NA
"comment","s155","1","control",65,1,"climate","msg_share_broad",0,100,100,100,25
"timed","s156","1","self",7,1,"health","msg_share_broad",0,34,34,53,NA
"comment","s157","1","control",61,1,"climate","msg_share_broad",0,7,15,15,17
"comment","s158","1","control",23,1,"health","msg_share_broad",0,1,10,3,11
"comment","s159","1","self",2,1,"health","msg_share_broad",0,43,100,98,12
"timed","s160","1","control",27,1,"climate","msg_share_broad",0,0,46,46,NA
"untimed","s161","1","self",12,1,"climate","msg_share_broad",0,1,99,99,NA
"timed","s162","1","other",81,1,"climate","msg_share_broad",0,1,1,0,NA
"timed","s163","1","control",67,1,"health","msg_share_broad",0,6,52,50,NA
"untimed","s164","1","self",26,1,"climate","msg_share_broad",0,99,96,100,NA
"untimed","s165","1","control",37,1,"climate","msg_share_broad",0,85,48,92,NA
"timed","s166","1","other",13,1,"climate","msg_share_broad",0,75,77,78,NA
"comment","s167","1","self",42,1,"climate","msg_share_broad",0,80,80,81,8
"untimed","s168","1","self",35,1,"health","msg_share_broad",0,33,69,70,NA
"comment","s169","1","other",33,1,"health","msg_share_broad",0,1,1,64,14
"timed","s170","1","other",48,1,"climate","msg_share_broad",0,1,1,1,NA
"timed","s171","1","other",31,1,"climate","msg_share_broad",0,2,4,64,NA
"untimed","s172","1","other",86,1,"health","msg_share_broad",0,19,8,10,NA
"timed","s173","1","other",16,1,"health","msg_share_broad",0,0,100,100,NA
"timed","s174","1","self",53,1,"climate","msg_share_broad",0,10,9,8,NA
"comment","s175","1","self",6,1,"climate","msg_share_broad",0,100,100,100,16
"untimed","s176","1","self",94,1,"health","msg_share_broad",0,0,78,65,NA
"timed","s177","1","control",36,1,"health","msg_share_broad",0,47,19,61,NA
"comment","s178","1","control",75,1,"health","msg_share_broad",0,11,10,12,20
"untimed","s179","1","other",72,1,"climate","msg_share_broad",0,15,64,72,NA
"timed","s180","1","other",19,1,"climate","msg_share_broad",0,0,100,100,NA
"timed","s181","1","self",10,1,"climate","msg_share_broad",0,0,50,50,NA
"untimed","s182","1","control",55,1,"climate","msg_share_broad",0,1,0,57,NA
"untimed","s183","1","control",79,1,"health","msg_share_broad",0,0,0,0,NA
"untimed","s184","1","self",92,1,"climate","msg_share_broad",0,8,6,5,NA
"timed","s185","1","other",57,1,"health","msg_share_broad",0,20,77,86,NA
"timed","s186","1","other",43,1,"health","msg_share_broad",0,100,100,100,NA
"comment","s187","1","self",64,1,"health","msg_share_broad",0,5,85,86,11
"comment","s188","1","self",21,1,"climate","msg_share_broad",0,64,100,100,18
"untimed","s189","1","control",26,1,"climate","msg_share_broad",0,100,99,100,NA
"untimed","s190","1","other",72,1,"climate","msg_share_broad",0,0,21,47,NA
"timed","s191","1","other",91,1,"health","msg_share_broad",0,58,35,91,NA
"timed","s192","1","other",25,1,"climate","msg_share_broad",0,13,19,17,NA
"untimed","s193","1","other",1,1,"climate","msg_share_broad",0,0,63,63,NA
"untimed","s194","1","self",19,1,"climate","msg_share_broad",0,70,72,72,NA
"untimed","s195","1","control",30,1,"climate","msg_share_broad",0,2,6,5,NA
"timed","s196","1","control",35,1,"health","msg_share_broad",0,24,18,79,NA
"comment","s197","1","other",76,1,"climate","msg_share_broad",0,5,6,81,15
"timed","s198","1","other",7,1,"health","msg_share_broad",0,5,10,9,NA
"timed","s199","1","control",93,1,"health","msg_share_broad",0,71,49,57,NA
"untimed","s200","1","control",18,1,"health","msg_share_broad",0,49,78,100,NA
"untimed","s201","1","other",9,1,"climate","msg_share_broad",0,78,18,17,NA
"untimed","s202","1","self",34,1,"health","msg_share_broad",0,2,93,89,NA
"timed","s203","1","control",29,1,"health","msg_share_broad",0,1,45,72,NA
"comment","s204","1","control",74,1,"health","msg_share_broad",0,51,94,86,11
"timed","s205","1","control",85,1,"climate","msg_share_broad",0,72,75,76,NA
"comment","s206","1","control",22,1,"climate","msg_share_broad",0,0,61,61,17
"comment","s207","1","control",68,1,"health","msg_share_broad",0,0,34,88,9
"timed","s208","1","other",15,1,"health","msg_share_broad",0,66,37,51,NA
"timed","s209","1","self",49,1,"health","msg_share_broad",0,0,91,0,NA
"timed","s210","1","other",70,1,"health","msg_share_broad",0,8,66,77,NA
"comment","s211","1","other",55,1,"climate","msg_share_broad",0,77,82,54,18
"timed","s212","1","control",79,1,"health","msg_share_broad",0,0,2,0,NA
"timed","s213","1","other",63,1,"climate","msg_share_broad",0,52,40,25,NA
"untimed","s214","1","control",90,1,"climate","msg_share_broad",0,0,74,85,NA
"untimed","s215","1","other",13,1,"climate","msg_share_broad",0,0,1,1,NA
"untimed","s216","1","control",29,1,"health","msg_share_broad",0,82,100,100,NA
"timed","s217","1","self",90,1,"climate","msg_share_broad",0,30,65,67,NA
"comment","s218","1","control",73,1,"climate","msg_share_broad",0,50,75,75,11
"timed","s219","1","other",6,1,"climate","msg_share_broad",0,0,14,68,NA
"timed","s220","1","control",44,1,"health","msg_share_broad",0,50,52,62,NA
"untimed","s221","1","other",90,1,"climate","msg_share_broad",0,0,0,0,NA
"untimed","s222","1","control",83,1,"health","msg_share_broad",0,28,85,82,NA
"untimed","s223","1","control",39,1,"health","msg_share_broad",0,0,0,0,NA
"comment","s224","1","other",37,1,"climate","msg_share_broad",0,23,58,61,9
"timed","s225","1","self",27,1,"climate","msg_share_broad",0,10,61,67,NA
"timed","s226","1","control",51,1,"health","msg_share_broad",0,35,90,90,NA
"timed","s227","1","control",29,1,"health","msg_share_broad",0,14,18,18,NA
"timed","s228","1","self",40,1,"climate","msg_share_broad",0,1,1,1,NA
"untimed","s229","1","other",43,1,"health","msg_share_broad",0,0,87,89,NA
"comment","s230","1","control",86,1,"health","msg_share_broad",0,85,100,100,17
"timed","s231","1","other",45,1,"climate","msg_share_broad",0,0,8,7,NA
"untimed","s232","1","other",71,1,"climate","msg_share_broad",0,48,71,71,NA
"comment","s233","1","control",46,1,"climate","msg_share_broad",0,76,86,87,6
"untimed","s234","1","control",3,1,"health","msg_share_broad",0,98,96,96,NA
"untimed","s235","1","other",6,1,"climate","msg_share_broad",0,53,62,50,NA
"untimed","s236","1","other",58,1,"health","msg_share_broad",0,1,100,100,NA
"untimed","s237","1","self",0,1,"health","msg_share_broad",0,32,20,30,NA
"timed","s238","1","other",60,1,"climate","msg_share_broad",0,0,52,49,NA
"timed","s239","1","other",26,1,"climate","msg_share_broad",0,1,1,53,NA
"comment","s240","1","other",53,1,"climate","msg_share_broad",0,21,53,59,25
"comment","s241","1","control",65,1,"climate","msg_share_broad",0,6,50,50,15
"untimed","s242","1","other",37,1,"climate","msg_share_broad",0,0,53,53,NA
"timed","s243","1","self",52,1,"climate","msg_share_broad",0,5,50,43,NA
"timed","s244","1","control",79,1,"health","msg_share_broad",0,0,10,13,NA
"timed","s245","1","self",59,1,"climate","msg_share_broad",0,82,89,89,NA
"untimed","s246","1","self",67,1,"health","msg_share_broad",0,0,23,34,NA
"timed","s247","1","control",38,1,"health","msg_share_broad",0,4,24,25,NA
"untimed","s248","1","control",23,1,"health","msg_share_broad",0,1,62,63,NA
"comment","s249","1","self",90,1,"climate","msg_share_broad",0,76,65,65,33
"comment","s250","1","other",80,1,"health","msg_share_broad",0,31,39,78,6
"timed","s251","1","other",36,1,"health","msg_share_broad",0,48,0,83,NA
"untimed","s252","1","control",44,1,"health","msg_share_broad",0,2,2,4,NA
"timed","s253","1","control",74,1,"health","msg_share_broad",0,40,100,100,NA
"comment","s254","1","self",51,1,"health","msg_share_broad",0,100,100,100,17
"timed","s256","1","other",30,1,"climate","msg_share_broad",0,61,42,76,NA
"timed","s257","1","control",71,1,"climate","msg_share_broad",0,0,22,49,NA
"untimed","s258","1","self",85,1,"climate","msg_share_broad",0,0,73,74,NA
"untimed","s259","1","control",18,1,"health","msg_share_broad",0,0,48,76,NA
"untimed","s260","1","control",66,1,"climate","msg_share_broad",0,28,80,69,NA
"timed","s261","1","control",61,1,"climate","msg_share_broad",0,93,92,91,NA
"untimed","s262","1","control",17,1,"health","msg_share_broad",0,0,0,11,NA
"timed","s263","1","control",54,1,"health","msg_share_broad",0,0,50,95,NA
"timed","s264","1","control",55,1,"climate","msg_share_broad",0,0,0,0,NA
"untimed","s265","1","control",87,1,"climate","msg_share_broad",0,59,56,51,NA
"comment","s266","1","other",86,1,"health","msg_share_broad",0,8,100,100,23
"untimed","s267","1","other",32,1,"climate","msg_share_broad",0,1,24,27,NA
"untimed","s268","1","control",15,1,"health","msg_share_broad",0,0,0,0,NA
"comment","s269","1","other",4,1,"climate","msg_share_broad",0,71,64,100,14
"untimed","s270","1","control",54,1,"health","msg_share_broad",0,0,0,66,NA
"timed","s271","1","other",65,1,"climate","msg_share_broad",0,0,31,32,NA
"untimed","s273","1","other",57,1,"health","msg_share_broad",0,75,100,100,NA
"timed","s274","1","other",11,1,"health","msg_share_broad",0,0,2,2,NA
"untimed","s275","1","other",83,1,"health","msg_share_broad",0,60,59,60,NA
"untimed","s276","1","control",89,1,"climate","msg_share_broad",0,50,16,15,NA
"comment","s277","1","self",95,1,"climate","msg_share_broad",0,0,59,71,13
"timed","s278","1","self",1,1,"climate","msg_share_broad",0,100,100,100,NA
"comment","s279","1","self",12,1,"climate","msg_share_broad",0,93,100,100,15
"untimed","s280","1","self",77,1,"climate","msg_share_broad",0,0,53,53,NA
"untimed","s281","1","self",80,1,"health","msg_share_broad",0,0,25,25,NA
"comment","s282","1","other",18,1,"health","msg_share_broad",0,36,50,99,23
"comment","s283","1","other",37,1,"climate","msg_share_broad",0,39,70,83,12
"timed","s284","1","other",53,1,"climate","msg_share_broad",0,23,2,15,NA
"timed","s285","1","other",19,1,"climate","msg_share_broad",0,0,0,0,NA
"timed","s286","1","self",19,1,"climate","msg_share_broad",0,6,76,30,NA
"timed","s287","1","other",48,1,"climate","msg_share_broad",0,0,14,50,NA
"untimed","s288","1","self",11,1,"health","msg_share_broad",0,5,5,58,NA
"untimed","s289","1","other",65,1,"climate","msg_share_broad",0,0,0,0,NA
"timed","s290","1","self",41,1,"health","msg_share_broad",0,7,7,63,NA
"timed","s291","1","control",76,1,"climate","msg_share_broad",0,1,61,79,NA
"comment","s292","1","self",88,1,"health","msg_share_broad",0,5,100,82,33
"comment","s293","1","other",42,1,"climate","msg_share_broad",0,5,100,100,33
"untimed","s294","1","self",16,1,"health","msg_share_broad",0,0,45,34,NA
"comment","s295","1","other",34,1,"health","msg_share_broad",0,23,1,0,8
"timed","s296","1","control",22,1,"climate","msg_share_broad",0,0,9,9,NA
"untimed","s297","1","control",82,1,"climate","msg_share_broad",0,65,64,81,NA
"timed","s298","1","control",87,1,"climate","msg_share_broad",0,9,5,13,NA
"comment","s299","1","other",79,1,"health","msg_share_broad",0,0,0,0,11
"comment","s300","1","control",24,1,"health","msg_share_broad",0,0,13,0,17
"timed","s301","1","control",81,1,"climate","msg_share_broad",0,28,64,71,NA
"comment","s302","1","self",60,1,"climate","msg_share_broad",0,75,76,78,22
"untimed","s303","1","self",49,1,"health","msg_share_broad",0,23,10,24,NA
"timed","s304","1","control",48,1,"climate","msg_share_broad",0,42,38,40,NA
"timed","s305","1","other",10,1,"climate","msg_share_broad",0,0,13,12,NA
"untimed","s306","1","self",85,1,"climate","msg_share_broad",0,81,34,84,NA
"timed","s307","1","control",30,1,"climate","msg_share_broad",0,100,100,100,NA
"untimed","s308","1","self",94,1,"health","msg_share_broad",0,40,60,62,NA
"untimed","s309","1","other",9,1,"climate","msg_share_broad",0,49,50,49,NA
"comment","s310","1","self",57,1,"health","msg_share_broad",0,22,26,28,18
"timed","s311","1","control",30,1,"climate","msg_share_broad",0,27,27,21,NA
"timed","s312","1","other",5,1,"health","msg_share_broad",0,0,59,27,NA
"timed","s313","1","control",19,1,"climate","msg_share_broad",0,0,16,17,NA
"comment","s314","1","self",68,1,"health","msg_share_broad",0,42,54,52,8
"timed","s315","1","other",82,1,"climate","msg_share_broad",0,100,88,100,NA
"untimed","s316","1","other",59,1,"climate","msg_share_broad",0,18,12,11,NA
"comment","s317","1","other",95,1,"climate","msg_share_broad",0,8,6,77,29
"comment","s318","1","other",59,1,"climate","msg_share_broad",0,75,88,90,13
"untimed","s319","1","other",89,1,"climate","msg_share_broad",0,50,94,93,NA
"timed","s320","1","other",82,1,"climate","msg_share_broad",0,51,53,76,NA
"comment","s321","1","control",46,1,"climate","msg_share_broad",0,12,51,52,9
"timed","s322","1","self",25,1,"climate","msg_share_broad",0,0,0,0,NA
"comment","s323","1","control",25,1,"climate","msg_share_broad",0,51,42,58,18
"timed","s324","1","self",41,1,"health","msg_share_broad",0,1,76,77,NA
"timed","s325","1","control",87,1,"climate","msg_share_broad",0,61,100,49,NA
"timed","s326","1","self",9,1,"climate","msg_share_broad",0,0,19,38,NA
"untimed","s327","1","self",10,1,"climate","msg_share_broad",0,0,50,49,NA
"timed","s328","1","other",25,1,"climate","msg_share_broad",0,45,51,50,NA
"timed","s329","1","other",80,1,"health","msg_share_broad",0,18,67,68,NA
"untimed","s330","1","other",70,1,"health","msg_share_broad",0,37,24,21,NA
"untimed","s331","1","other",90,1,"climate","msg_share_broad",0,1,45,45,NA
"comment","s332","1","other",15,1,"health","msg_share_broad",0,25,79,98,29
"timed","s333","1","self",61,1,"climate","msg_share_broad",0,89,57,49,NA
"untimed","s334","1","other",29,1,"health","msg_share_broad",0,0,0,27,NA
"timed","s335","1","self",58,1,"health","msg_share_broad",0,76,77,72,NA
"untimed","s336","1","other",95,1,"climate","msg_share_broad",0,76,100,100,NA
"untimed","s337","1","control",1,1,"climate","msg_share_broad",0,31,19,24,NA
