"SID","article_cond","article_number","topic","msg_rel_self","msg_rel_social","LiveShare","n_articles","sharing_type","msg_share","sharing_type_key","comment","Article.Title","Source.URL","Topic","check","n_words"
"s005","self",101,"health",30,60,0,3,1,0,"msg_share_broad","This information goes against what I've heard before about red meat. I would have to cut down on all meat and eat more veggies then to affect my cholesterol levels. Its good to know because I could take the right action if I needed to.","White Meat vs. Red Meat and Cholesterol Levels","https://www.nytimes.com/2019/06/11/well/eat/white-meat-vs-red-meat-and-cholesterol-levels.html","wellness",0,45
"s005","control",81,"climate",70,80,0,3,1,10,"msg_share_broad","The article was about the oil industry and how it was working together to influence government policies that would make car fuel effeciency standards less strict and more relaxed and in the end these standards would benefit them personally with higher profits.","The Oil Industry’s Covert Campaign to Rewrite American Car Emissions Rules","https://www.nytimes.com/2018/12/13/climate/cafe-emissions-rollback-oil-industry.html","climate",0,42
"s005","other",25,"health",90,80,0,3,1,10,"msg_share_broad","If they have kids it would matter because they wouldn't want them to be unhealthy or overweight as adults. It would be motivating so they would make sure their kids are getting at least some exercise each day.","Child’s Play Is Good for All of Us","https://www.nytimes.com/2017/05/03/well/move/childs-play-is-good-for-all-of-us.html","wellness",0,38
"s006","control",29,"climate",80,80,0,10,1,0,"msg_share_broad","The article is about how climate change will affect the business of many large companies within the next 5 years or so. Some of these companies could face losing trillions of dollars.","Companies See Climate Change Hitting Their Bottom Lines in the Next 5 Years","https://www.nytimes.com/2019/06/04/climate/companies-climate-change-financial-impact.html","climate",0,32
"s006","other",92,"health",90,100,0,10,1,0,"msg_share_broad","Dental problems are a pain especially dental problems in childhood. You can give your kids a better chance with a daily dose of vitamin D it's best to start during pregnancy.","Vitamin D During Pregnancy May Improve Dental Health of Babies","https://www.nytimes.com/2019/08/13/well/family/vitamin-d-during-pregnancy-may-improve-dental-health-of-babies.html","wellness",0,31
"s006","self",110,"climate",100,100,0,10,1,0,"msg_share_broad","We need to take care of our worldwide ecosystems. Throwing off the balance of the world's oceans over fishing being reckless and killing porpoises dolphins and such can have a catastrophic effect for generations to come.","30 Vaquita Porpoises Are Left. One Died in a Rescue Mission.","https://www.nytimes.com/2017/11/11/climate/vaquita-porpoise-dies.html","climate",0,36
"s006","control",32,"health",50,80,0,10,1,0,"msg_share_broad","Parents can only do so much to control their kids' weight. Some kids outright refuse to eat anything healthy or stay active. Other kids are super hungry and still gain weight while eating healthy. Then there are other kids who are just genetically predisposed to obesity. It's not fair to always point the finger at the parents.","Do Parents Make Kids Fat?","https://www.nytimes.com/2018/01/08/well/family/do-parents-make-kids-fat.html","wellness",0,57
"s006","self",88,"climate",100,100,0,10,1,0,"msg_share_broad","This article is extremely relevant and matters to met personally because me my children and my grandchildren will have to face the consequences of this so called climate change and effects on the economy. IE harder to find food increased flooding and dangerous storms more expensive necessities and so on.","U.S. Climate Report Warns of Damaged Environment and Shrinking Economy","https://www.nytimes.com/2018/11/23/climate/us-climate-report.html","climate",0,50
"s006","other",47,"health",60,90,0,10,1,0,"msg_share_broad","Almost everyone I know loves to eat meat many of them too much meat. It has caused heart problems and high cholesterol for quite a few of them. This advice may be beneficial if followed.","Getting Your Protein From Plants May Help You Live Longer","https://www.nytimes.com/2019/09/03/well/eat/diet-lifespan-vegetables-vegetarian-vegan-foods-plants-meat-fish.html","wellness",0,35
"s006","self",70,"climate",80,80,0,10,1,0,"msg_share_broad","I believe it is important not to kill off wildlife for drilling. While it may provide short term benefits like cheaper fuel costs. My children and future generations will pay the price.","Senate Takes Step to Approve Drilling in Arctic Wildlife Refuge","https://www.nytimes.com/2017/10/13/climate/arctic-drilling.html","climate",0,32
