"SID","article_cond","article_number","topic","n_articles","msg_rel_self","msg_rel_social","msg_share","sharing_type","sharing_type_key","sharing_behavior","n_words"
"s011","self",26,"climate",6,60,50,0,1,"msg_share_broad",0,35
"s011","other",23,"health",6,100,100,0,1,"msg_share_broad",0,29
"s012","other",85,"climate",4,70,70,70,1,"msg_share_broad",0,19
"s012","self",34,"health",4,90,90,90,1,"msg_share_broad",0,25
"s012","other",7,"climate",4,90,90,90,1,"msg_share_broad",0,15
"s012","control",64,"health",4,60,60,60,1,"msg_share_broad",0,28
"s013","control",51,"climate",3,40,30,10,1,"msg_share_broad",0,67
"s013","other",73,"health",3,30,0,0,1,"msg_share_broad",0,16
"s013","self",72,"climate",3,60,10,0,1,"msg_share_broad",0,60
"s014","self",80,"health",7,100,100,30,1,"msg_share_broad",0,37
"s014","control",35,"climate",7,80,80,90,1,"msg_share_broad",0,23
"s014","other",101,"health",7,100,100,90,1,"msg_share_broad",0,26
"s014","self",26,"climate",7,80,80,50,1,"msg_share_broad",0,23
"s014","other",55,"health",7,100,100,80,1,"msg_share_broad",0,19
"s014","control",29,"climate",7,60,60,30,1,"msg_share_broad",0,36
"s014","control",109,"health",7,80,80,10,1,"msg_share_broad",0,30
"s015","other",80,"health",7,100,100,100,1,"msg_share_broad",0,48
"s015","self",1,"climate",7,100,100,100,1,"msg_share_broad",0,105
"s015","control",3,"health",7,80,100,100,1,"msg_share_broad",0,45
"s015","self",7,"climate",7,70,100,100,1,"msg_share_broad",0,62
"s015","other",13,"health",7,90,100,100,1,"msg_share_broad",0,26
"s015","control",24,"climate",7,90,90,90,1,"msg_share_broad",0,20
"s015","other",75,"health",7,90,90,90,1,"msg_share_broad",0,21
"s016","other",22,"health",9,100,100,20,1,"msg_share_broad",0,25
"s016","other",82,"climate",9,100,100,60,1,"msg_share_broad",0,26
"s016","other",101,"health",9,30,80,40,1,"msg_share_broad",0,28
"s016","self",27,"climate",9,90,90,30,1,"msg_share_broad",0,27
"s016","control",34,"health",9,100,100,60,1,"msg_share_broad",0,48
"s016","other",38,"climate",9,10,30,0,1,"msg_share_broad",0,26
"s016","control",8,"health",9,30,40,20,1,"msg_share_broad",0,50
"s016","self",50,"climate",9,100,100,80,1,"msg_share_broad",0,24
"s016","self",41,"health",9,0,0,0,1,"msg_share_broad",0,7
"s017","control",18,"climate",5,80,50,0,1,"msg_share_broad",0,13
"s017","other",105,"health",5,50,100,0,1,"msg_share_broad",0,22
"s017","self",56,"climate",5,100,30,0,1,"msg_share_broad",0,32
"s017","control",63,"health",5,70,0,0,1,"msg_share_broad",0,11
"s017","self",84,"climate",5,100,80,60,1,"msg_share_broad",0,36
"s018","other",17,"health",6,40,30,10,1,"msg_share_broad",0,33
"s018","self",107,"climate",6,100,90,70,1,"msg_share_broad",0,67
"s018","other",73,"health",6,80,100,20,1,"msg_share_broad",0,25
"s018","control",65,"climate",6,90,90,70,1,"msg_share_broad",0,49
"s018","self",48,"health",6,60,20,0,1,"msg_share_broad",0,37
"s019","control",44,"climate",7,100,90,0,1,"msg_share_broad",0,39
"s019","other",25,"health",7,10,100,0,1,"msg_share_broad",0,38
"s019","self",98,"climate",7,10,30,0,1,"msg_share_broad",0,42
"s019","self",33,"health",7,100,90,0,1,"msg_share_broad",0,33
"s019","other",2,"climate",7,100,100,0,1,"msg_share_broad",0,26
"s019","control",52,"health",7,100,100,0,1,"msg_share_broad",0,37
"s019","self",72,"climate",7,60,60,0,1,"msg_share_broad",0,39
"s020","self",108,"climate",3,80,100,0,1,"msg_share_broad",1,31
"s020","control",12,"climate",3,100,100,0,1,"msg_share_broad",0,48
"s020","other",90,"health",3,100,100,80,1,"msg_share_broad",0,31
"s021","control",103,"health",5,100,90,60,1,"msg_share_broad",0,42
"s021","other",10,"climate",5,70,100,60,1,"msg_share_broad",0,38
"s021","self",34,"health",5,30,40,40,1,"msg_share_broad",0,52
"s021","self",64,"health",5,10,20,30,1,"msg_share_broad",0,48
"s021","other",69,"climate",5,20,20,30,1,"msg_share_broad",0,42
"s022","control",88,"climate",9,100,100,100,1,"msg_share_broad",1,8
"s022","other",5,"health",9,100,100,50,1,"msg_share_broad",0,22
"s022","self",50,"climate",9,70,100,20,1,"msg_share_broad",0,22
"s022","other",60,"health",9,70,100,70,1,"msg_share_broad",0,20
"s022","control",77,"climate",9,70,70,70,1,"msg_share_broad",0,8
"s022","self",25,"health",9,0,100,100,1,"msg_share_broad",1,6
"s022","control",14,"climate",9,100,100,80,1,"msg_share_broad",0,22
"s022","other",55,"health",9,80,100,80,1,"msg_share_broad",0,14
"s022","self",27,"climate",9,40,60,60,1,"msg_share_broad",0,19
"s023","self",85,"climate",4,70,70,60,1,"msg_share_broad",0,144
"s023","control",105,"health",4,100,100,60,1,"msg_share_broad",0,94
"s023","other",82,"climate",4,70,70,20,1,"msg_share_broad",0,201
"s023","other",41,"health",4,50,70,10,1,"msg_share_broad",0,165
"s024","control",102,"health",5,0,70,0,1,"msg_share_broad",0,31
"s024","other",38,"climate",5,30,70,10,1,"msg_share_broad",0,30
"s024","self",49,"health",5,10,100,0,1,"msg_share_broad",0,28
"s024","self",72,"climate",5,70,80,40,1,"msg_share_broad",0,17
"s024","control",91,"health",5,20,10,0,1,"msg_share_broad",0,20
"s025","other",61,"climate",9,80,60,80,1,"msg_share_broad",0,16
"s025","control",6,"health",9,70,40,60,1,"msg_share_broad",0,10
"s025","other",1,"climate",9,70,70,80,1,"msg_share_broad",0,21
"s025","self",19,"health",9,70,60,60,1,"msg_share_broad",0,18
"s025","control",51,"climate",9,70,80,80,1,"msg_share_broad",0,9
"s025","other",92,"health",9,40,70,40,1,"msg_share_broad",0,17
"s025","control",67,"climate",9,80,60,70,1,"msg_share_broad",0,9
"s025","self",109,"health",9,100,60,70,1,"msg_share_broad",0,15
